                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.63063,                 1.0146,                0.93273,                0.80129,                0.73356,                 0.8064,                0.72273,                0.48267,                0.69499,                0.85253,               0.070007,              0.0033326,              0.0033326
                      1,                0.60803,                0.61035,                0.92445,                 0.7872,                0.84727,                0.86549,                0.78344,                0.44575,                0.59648,                0.83887,               0.039787,              0.0064459,              0.0064459
                      2,                0.61223,                0.57944,                0.92585,                0.82702,                0.73999,                0.84247,                0.76398,                0.45093,                0.58952,                0.84041,              0.0093469,              0.0093393,              0.0093393
                      3,                0.58019,                0.53497,                0.91685,                0.82873,                 0.7652,                0.85133,                0.79053,                0.39907,                0.51389,                 0.8232,                0.00901,                0.00901,                0.00901
                      4,                0.53926,                0.48825,                0.90501,                0.81328,                0.83302,                0.92236,                0.84969,                0.37273,                0.48735,                0.81314,                0.00901,                0.00901,                0.00901
                      5,                0.51487,                0.45977,                    0.9,                0.85475,                0.79937,                0.90891,                0.84226,                0.35206,                0.45329,                0.80828,                0.00868,                0.00868,                0.00868
                      6,                0.49781,                0.43986,                0.89488,                0.80678,                0.85726,                0.93116,                0.86415,                 0.3399,                0.44031,                0.80367,                0.00835,                0.00835,                0.00835
                      7,                0.48512,                0.42549,                0.89136,                0.84066,                0.81188,                0.89735,                0.84512,                0.32817,                0.42756,                0.80067,                0.00802,                0.00802,                0.00802
                      8,                0.47517,                0.41313,                0.88992,                 0.8718,                0.80241,                0.90706,                0.85446,                0.32201,                 0.4138,                0.79971,                0.00769,                0.00769,                0.00769
                      9,                0.46664,                0.40401,                0.88693,                0.86363,                0.82494,                0.94237,                0.88147,                0.31693,                0.40648,                 0.7981,                0.00736,                0.00736,                0.00736
                     10,                0.45899,                0.39772,                0.88505,                 0.8552,                 0.8284,                0.93666,                 0.8787,                0.31196,                0.40414,                0.79653,                0.00703,                0.00703,                0.00703
                     11,                 0.4545,                0.39096,                0.88443,                0.85453,                0.81598,                0.92863,                0.87443,                0.30839,                0.40073,                0.79565,                 0.0067,                 0.0067,                 0.0067
                     12,                0.44592,                0.38399,                0.88156,                0.84475,                0.82553,                0.92834,                0.87453,                0.30506,                0.39652,                0.79471,                0.00637,                0.00637,                0.00637
                     13,                 0.4407,                 0.3774,                 0.8798,                0.81915,                0.86137,                0.93301,                0.87861,                0.30205,                0.39415,                0.79388,                0.00604,                0.00604,                0.00604
                     14,                0.43548,                0.37301,                0.87926,                  0.825,                0.86021,                0.93725,                0.88326,                0.29981,                0.39086,                0.79318,                0.00571,                0.00571,                0.00571
                     15,                0.43063,                0.36615,                0.87735,                0.83501,                0.85479,                0.93752,                0.88445,                0.29806,                0.38743,                0.79248,                0.00538,                0.00538,                0.00538
                     16,                0.42712,                0.36151,                0.87738,                0.84052,                0.85104,                0.93831,                0.88592,                0.29619,                 0.3846,                0.79198,                0.00505,                0.00505,                0.00505
                     17,                0.42116,                0.35666,                0.87576,                 0.8408,                0.85374,                0.94009,                0.88767,                0.29441,                0.38263,                 0.7914,                0.00472,                0.00472,                0.00472
                     18,                0.41757,                0.34979,                0.87568,                0.84453,                0.84944,                0.94058,                0.88849,                0.29277,                0.38043,                0.79087,                0.00439,                0.00439,                0.00439
                     19,                0.41348,                0.34743,                  0.873,                0.87701,                0.82137,                0.94065,                0.88808,                0.29118,                0.37825,                0.79036,                0.00406,                0.00406,                0.00406
                     20,                0.40867,                0.34191,                0.87253,                0.88427,                0.81526,                0.94168,                0.88832,                0.28931,                0.37608,                0.78985,                0.00373,                0.00373,                0.00373
                     21,                0.40488,                0.33827,                0.87213,                0.88729,                0.81232,                0.94209,                0.88982,                0.28775,                0.37409,                0.78939,                 0.0034,                 0.0034,                 0.0034
                     22,                0.39979,                0.33059,                   0.87,                 0.8869,                0.81389,                0.94157,                0.88948,                0.28625,                0.37254,                0.78899,                0.00307,                0.00307,                0.00307
                     23,                0.39554,                0.32721,                0.86932,                0.88376,                0.81661,                0.94142,                0.88946,                0.28487,                0.37099,                 0.7886,                0.00274,                0.00274,                0.00274
                     24,                0.38972,                0.32189,                0.86787,                0.88115,                0.81915,                0.94094,                0.88985,                0.28348,                0.36961,                0.78822,                0.00241,                0.00241,                0.00241
                     25,                0.38532,                0.31515,                0.86699,                0.87738,                0.82218,                0.94177,                 0.8908,                0.28189,                 0.3677,                 0.7878,                0.00208,                0.00208,                0.00208
                     26,                 0.3809,                0.31162,                0.86625,                0.82644,                0.86764,                0.94247,                0.89121,                0.28006,                0.36587,                0.78727,                0.00175,                0.00175,                0.00175
                     27,                0.37749,                 0.3066,                0.86457,                0.83912,                0.86874,                0.94616,                0.89521,                0.27853,                0.36399,                0.78676,                0.00142,                0.00142,                0.00142
                     28,                0.37116,                0.29967,                 0.8644,                 0.8437,                0.86466,                0.94783,                0.89796,                0.27706,                0.36251,                0.78629,                0.00109,                0.00109,                0.00109
                     29,                0.36517,                0.29415,                0.86298,                0.84898,                0.86235,                0.94939,                 0.8991,                0.27554,                0.36115,                0.78584,                0.00076,                0.00076,                0.00076
